Name,Avatar,Gender,Email
Carl Carlson,simpsons/Carl_Carlson.png,Hombre,ejemplo@email.com
Barney,simpsons/Barney.jpg,Hombre,ejemplo@email.com
Dolphin Starbeam,simpsons/Dolphin_Starbeam.png,Hombre,ejemplo@email.com
Grandpa,simpsons/Grandpa.jpg,Hombre,ejemplo@email.com
Edna Krabappel,simpsons/Edna_Krabappel.jpg,Mujer,ejemplo@email.com
Duffman,simpsons/Duffman.jpg,Hombre,ejemplo@email.com
Martin Prince,simpsons/Martin_Prince.png,Hombre,ejemplo@email.com
Homer Simpson,simpsons/Homer.jpg,Mujer,ejemplo@email.com
Ned Flanders,simpsons/Ned_Flanders.jpg,Hombre,ejemplo@email.com
Jimbo Jones,simpsons/Jimbo_Jones.png,Hombre,ejemplo@email.com
Itchy,simpsons/Itchy.gif,Hombre,ejemplo@email.com
Comic Guy,simpsons/comic_guy.png,Hombre,ejemplo@email.com
Kearney,simpsons/Kearney.png,Hombre,ejemplo@email.com
Tod Flanders,simpsons/Flanders.jpg,Hombre,ejemplo@email.com
Mr Burns,simpsons/Mr_Burns.jpg,Hombre,ejemplo@email.com
Brandine Del Roy,simpsons/Brandine_Del_Roy.png,Mujer,ejemplo@email.com
Maggie,simpsons/Maggie.jpg,Mujer,ejemplo@email.com
Krusty,simpsons/Krusty.jpg,Hombre,ejemplo@email.com
Lisa Simpson,simpsons/LisaSimpson.gif,Mujer,ejemplo@email.com
Symour Skinner,simpsons/Skinner2.jpg,Hombre,ejemplo@email.com
Sideshow Bob,simpsons/Sideshow_Bob.jpg,Hombre,ejemplo@email.com
Rod Flanders,simpsons/Flanders3.jpg,Hombre,ejemplo@email.com
Nelson,simpsons/Nelson.jpg,Hombre,ejemplo@email.com
Blinky,simpsons/Blinky.jpg,Hombre,ejemplo@email.com
